Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"CARRYING A CONCEALED WEAPON/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, DISORDERLY CONDUCT 2ND DEGREE/M",721 PRESS AVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/5/2015 6:25,Cleared By Arrest,721 PRESS AVE,20150797,"CARRYING A CONCEALED WEAPON/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, DISORDERLY CONDUCT 2ND DEGREE/M",Drug Violations,Cleared By Arrest,721 PRESS AVE
"ASSAULT 4TH DEGREE (MINOR INJURY)/M, TERRORISTIC THREATENING 3RD DEGREE/M",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,4/5/2015 7:18,Open,1000 SOUTH LIMESTONE ST,20150798,"ASSAULT 4TH DEGREE (MINOR INJURY)/M, TERRORISTIC THREATENING 3RD DEGREE/M",Assault,Open,1000 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),330 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/5/2015 8:22,Cleared By Arrest,330 SOUTH LIMESTONE ST,20150799,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,330 SOUTH LIMESTONE ST
"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/5/2015 11:30,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150801,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M",Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
CRIMINAL MISCHIEF 3RD DEGREE/M,349 SCOTT ST  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/6/2015 5:45,Closed,349 SCOTT ST,20150813,CRIMINAL MISCHIEF 3RD DEGREE/M,Criminal Mischief,Closed,349 SCOTT ST
"POSS OF MARIJUANA/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND DEGREE/M, POSS CONT SUB 1ST DEG 1ST OFF (COCAINE)/F, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F",180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Drug Violations,4/5/2015 3:57,Cleared By Arrest,180 AVENUE OF CHAMPIONS,20150794,"POSS OF MARIJUANA/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND DEGREE/M, POSS CONT SUB 1ST DEG 1ST OFF (COCAINE)/F, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F",Drug Violations,Cleared By Arrest,180 AVENUE OF CHAMPIONS
"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 4:00,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015052748,"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 1:00,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015052721,"CRIMINAL MISCHIEF 3RD DEGREE/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/3/2015 19:29,Closed CSA,1350 BULL LEA RD,CSA20150308,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/3/2015 23:28,Closed CSA,1350 BULL LEA RD,CSA20150309,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/4/2015 16:21,Closed CSA,1350 BULL LEA RD,CSA20150310,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/4/2015 16:41,Closed CSA,1350 BULL LEA RD,CSA20150311,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X3,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/6/2015 12:46,Closed CSA,1350 BULL LEA RD,CSA20150312,ASSAULT X3,Assault,Closed CSA,1350 BULL LEA RD
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/3/2015 0:30,Closed Disciplinary Referral,705 SPORTS CENTER DR,CSA20150313,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Liquor Law Violation,Closed Disciplinary Referral,705 SPORTS CENTER DR
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,325 HUGUELET DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/4/2015 18:17,Closed Disciplinary Referral,325 HUGUELET DR,CSA20150314,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Liquor Law Violation,Closed Disciplinary Referral,325 HUGUELET DR
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/5/2015 2:20,Closed Disciplinary Referral,650 WOODLAND AVE,CSA20150315,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Liquor Law Violation,Closed Disciplinary Referral,650 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,756 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/5/2015 4:30,Closed Disciplinary Referral,756 WOODLAND AVE,CSA20150316,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Liquor Law Violation,Closed Disciplinary Referral,756 WOODLAND AVE
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/5/2015 5:13,Closed Disciplinary Referral,705 SPORTS CENTER DR,CSA20150317,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Liquor Law Violation,Closed Disciplinary Referral,705 SPORTS CENTER DR
PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,756 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/5/2015 6:07,Closed Disciplinary Referral,756 WOODLAND AVE,CSA20150318,PERSON 18-20 POSS/PURCH/ ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Liquor Law Violation,Closed Disciplinary Referral,756 WOODLAND AVE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 21:30,Closed,430 COMPLEX DR,20150804,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,430 COMPLEX DR
SEXUAL ABUSE 1ST DEGREE/F,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Sex Offenses,4/6/2015 10:30,Unfounded,1540 UNIVERSITY DR,20150816,SEXUAL ABUSE 1ST DEGREE/F,Sex Offenses,Unfounded,1540 UNIVERSITY DR
BURGLARY 3RD DEGREE/F,720 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Burglary,4/3/2015 22:45,Open,720 SPORTS CENTER DR,20150817,BURGLARY 3RD DEGREE/F,Burglary,Open,720 SPORTS CENTER DR
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,3/24/2015 0:00,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20150818,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/6/2015 14:00,Closed CSA,1350 BULL LEA RD,CSA20150319,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/6/2015 21:25,Closed CSA,1350 BULL LEA RD,CSA20150320,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/6/2015 21:40,Closed CSA,1350 BULL LEA RD,CSA20150321,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
DISORDERLY CONDUCT X2,ELIZABETH ST & TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Disorderly Conduct,3/29/2015 5:40,Closed Lexington Police Report,ELIZABETH ST & TRANSCRIPT AVE,2015048274,DISORDERLY CONDUCT X2,Disorderly Conduct,Closed Lexington Police Report,ELIZABETH ST & TRANSCRIPT AVE
DISORDERLY CONDUCT 2ND,100 BLOCK OF STATE ST  ,Lexington,Kentucky,United States of America,Disorderly Conduct,3/29/2015 4:40,Closed Lexington Police Report,100 BLOCK OF STATE ST,2015048246,DISORDERLY CONDUCT 2ND,Disorderly Conduct,Closed Lexington Police Report,100 BLOCK OF STATE ST
THEFT BY DECEPTION - INCLUDE COLD CHECKS U$500/M,770 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,4/6/2015 12:00,Open,770 WOODLAND AVE,20150822,THEFT BY DECEPTION - INCLUDE COLD CHECKS U$500/M,Theft,Open,770 WOODLAND AVE
ASSAULT,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,4/5/2015 2:30,Closed CSA,310 SOUTH LIMESTONE ST,CSA20150322,ASSAULT,Assault,Closed CSA,310 SOUTH LIMESTONE ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/6/2015 23:00,Closed CSA,1350 BULL LEA RD,CSA20150323,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/7/2015 23:01,Closed CSA,1350 BULL LEA RD,CSA20150324,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,338 LEXINGTON AVE  ,Lexington,Kentucky,United States of America,All Other Offenses,4/7/2015 12:00,Open,338 LEXINGTON AVE,20150831,THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,All Other Offenses,Open,338 LEXINGTON AVE
"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M",404 ADMINISTRATION DR  ,Lexington,Kentucky,United States of America,Theft,3/15/2015 12:00,Closed,404 ADMINISTRATION DR,20150837,"FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M",Theft,Closed,404 ADMINISTRATION DR
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/8/2015 15:48,Closed CSA,1350 BULL LEA RD,CSA20150325,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT ,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/8/2015 20:02,Closed CSA,1350 BULL LEA RD,CSA20150326,ASSAULT ,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT ,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/8/2015 20:04,Closed CSA,1350 BULL LEA RD,CSA20150327,ASSAULT ,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/9/2015 12:53,Closed CSA,1350 BULL LEA RD,CSA20150328,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA RD
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,505 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,4/9/2015 17:30,Closed,505 ROSE ST,20150843,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,505 ROSE ST
TBUT OR DISP ALL OTHERS U/$500/M,430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,4/7/2015 2:30,Closed,430 COMPLEX DR,20150845,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,430 COMPLEX DR
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),318 COLLEGE VIEW AVE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/9/2015 21:40,Cleared By Arrest,318 COLLEGE VIEW AVE,20150848,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,318 COLLEGE VIEW AVE
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",758 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/10/2015 1:00,Citation Issued,758 WOODLAND AVE,20150851,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,758 WOODLAND AVE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",179 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,4/5/2015 4:00,Open,179 FUNKHOUSER DR,20150852,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,179 FUNKHOUSER DR
"CARELESS DRIVING, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 3RD OFF/M, TRAFF IN CONT SUB 1ST DEGREE, 1ST OFF (<2 GMS HEROIN)/F, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F, POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, DRIVING DUI SUSPENDED LICENSE - 2ND OFFENSE/M, POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED/M",EAST MAXWELL ST & SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Drug Violations,4/10/2015 2:45,Cleared By Arrest,EAST MAXWELL ST & SOUTH MARTIN LUTHER KING BLVD,20150853,"CARELESS DRIVING, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 3RD OFF/M, TRAFF IN CONT SUB 1ST DEGREE, 1ST OFF (<2 GMS HEROIN)/F, POSS CONT SUB 1ST DEG 1ST OFF (HEROIN)/F, POSS CONT SUB 3RD DEGREE - DRUG UNSPECIFIED/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, DRIVING DUI SUSPENDED LICENSE - 2ND OFFENSE/M, POSS CONT SUB 2ND DEGREE - DRUG UNSPECIFIED/M",Drug Violations,Cleared By Arrest,EAST MAXWELL ST & SOUTH MARTIN LUTHER KING BLVD
"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",COLUMBIA AVE & COLUMBIA TERR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/10/2015 5:06,Cleared By Arrest,COLUMBIA AVE & COLUMBIA TERR,20150855,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M",Alcohol Intoxication,Cleared By Arrest,COLUMBIA AVE & COLUMBIA TERR
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),JERSEY ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/10/2015 7:58,Cleared By Arrest,JERSEY ST,20150856,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,JERSEY ST
ASSAULT,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,4/10/2015 3:30,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150329,ASSAULT,Assault,Closed CSA,1000 SOUTH LIMESTONE ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/9/2015 15:30,Closed CSA,1350 BULL LEA RD,CSA20150330,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/9/2015 20:30,Closed CSA,1350 BULL LEA RD,CSA20150331,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/10/2015 3:35,Closed CSA,1350 BULL LEA RD,CSA20153332,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/10/2015 16:10,Closed CSA,1350 BULL LEA RD,CSA20150333,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF 3RD/M,575 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/10/2015 3:30,Closed,575 WOODLAND AVE,20150857,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,575 WOODLAND AVE
CRIMINAL MISCHIEF 3RD/M,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/9/2015 21:00,Closed,650 WOODLAND AVE,20150859,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,650 WOODLAND AVE
ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Assault,4/10/2015 22:00,Closed,110 TRANSCRIPT AVE,20150861,ASSAULT 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY/M,Assault,Closed,110 TRANSCRIPT AVE
"RECKLESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, FAILURE TO GIVE RIGHT OF WAY TO EMERGENCY VEHICLE/M",WALLER AVE & AUDOBON  ,Lexington,Kentucky,United States of America,DUI,4/11/2015 6:51,Cleared By Arrest,WALLER AVE & AUDOBON,20150865,"RECKLESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SEC 1ST OFF/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, FAILURE TO GIVE RIGHT OF WAY TO EMERGENCY VEHICLE/M",DUI,Cleared By Arrest,WALLER AVE & AUDOBON
"TBUT OR DISP CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,4/10/2015 11:00,Open,1540 UNIVERSITY DR,20150867,"TBUT OR DISP CONTENTS FROM AUTO $500 OR MORE BUT U/$10,000/F",Theft,Open,1540 UNIVERSITY DR
TBUT OR DISP PURSE SNATCHING U/$500/M; RECEIVING STOLEN PROPERTY/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,4/12/2015 4:20,Citation Issued,310 SOUTH LIMESTONE ST,20150871,TBUT OR DISP PURSE SNATCHING U/$500/M; RECEIVING STOLEN PROPERTY/M,Theft,Citation Issued,310 SOUTH LIMESTONE ST
"FAILURE TO ILLUMINATE HEAD LAMPS, FAILURE TO PRODUCE INSURANCE CARD, CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",NICHOLASVILLE RD & WABASH DR  ,Lexington,Kentucky,United States of America,DUI,4/12/2015 5:46,Cleared By Arrest,NICHOLASVILLE RD & WABASH DR,20150873,"FAILURE TO ILLUMINATE HEAD LAMPS, FAILURE TO PRODUCE INSURANCE CARD, CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",DUI,Cleared By Arrest,NICHOLASVILLE RD & WABASH DR
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) ,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/12/2015 7:50,Cleared By Arrest,310 SOUTH LIMESTONE ST,20150874,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) ,Alcohol Intoxication,Cleared By Arrest,310 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,4/11/2015 23:00,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20150881,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
"REPRESENTING AS ONES OWN ANOTHERS OPER LIC/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",SOUTH LIMESTONE ST & GAZETTE AVE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/12/2015 5:40,Cleared By Arrest,SOUTH LIMESTONE ST & GAZETTE AVE,20150872,"REPRESENTING AS ONES OWN ANOTHERS OPER LIC/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",Alcohol Intoxication,Cleared By Arrest,SOUTH LIMESTONE ST & GAZETTE AVE
"POSSESSION OF SYNTHETIC DRUGS/M, CRIMINAL TRESPASSING 3RD",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,4/12/2015 8:46,Cleared By Arrest,1000 SOUTH LIMESTONE ST,20150875,"POSSESSION OF SYNTHETIC DRUGS/M, CRIMINAL TRESPASSING 3RD",Drug Violations,Cleared By Arrest,1000 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/12/2015 6:34,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD,201510563,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,344 SOUTH MARTIN LUTHER KING BLVD
CRIMINAL MISCHIEF 2ND/M,845 RED MILE RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/11/2015 5:00,Closed Lexington Police Report,845 RED MILE RD,2015057304,CRIMINAL MISCHIEF 2ND/M,Criminal Mischief,Closed Lexington Police Report,845 RED MILE RD
WANTON ENDANGERMENT 1ST/F,845 RED MILE RD  ,Lexington,Kentucky,United States of America,All Other Offenses,4/12/2015 5:30,Closed Lexington Police Report,845 RED MILE RD,2015057202,WANTON ENDANGERMENT 1ST/F,All Other Offenses,Closed Lexington Police Report,845 RED MILE RD
ASSAULT,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Assault,4/13/2015 15:50,Closed CSA,310 SOUTH LIMESTONE ST,CSA20150334,ASSAULT,Assault,Closed CSA,310 SOUTH LIMESTONE ST
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/10/2015 18:20,Closed CSA,1350 BULL LEA RD,CSA20150335,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/10/2015 19:01,Closed CSA,1350 BULL LEA RD,CSA20150336,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/10/2015 20:52,Closed CSA,1350 BULL LEA RD,CSA20150337,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/11/2015 6:38,Closed CSA,1350 BULL LEA RD,CSA20150338,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/11/2015 20:41,Closed CSA,1350 BULL LEA RD,CSA20150339,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/12/2015 2:45,Closed CSA,1350 BULL LEA RD,CSA20150340,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/12/2015 8:25,Closed CSA,1350 BULL LEA RD,CSA20150341,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT X3,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/11/2015 22:05,Closed CSA,1350 BULL LEA RD,CSA20150342,ASSAULT X3,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/13/2015 0:05,Closed CSA,1350 BULL LEA RD,CSA20150343,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/12/2015 21:50,Closed CSA,1350 BULL LEA RD,CSA20150344,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/13/2015 16:38,Closed CSA,1350 BULL LEA RD,CSA20150345,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,4/13/2015 14:50,Closed CSA,1350 BULL LEA RD,CSA20150346,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/13/2015 19:00,Closed CSA,1350 BULL LEA RD,CSA20150347,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
