Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Theft,20142614,09/24/2014 - 11:50am,9/24/2014,140 PATTERSON DRIVE,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Theft,20142615,09/24/2014 - 6:40am,9/24/2014,1540 UNIVERSITY DRIVE,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Theft,20142616,09/24/2014 - 4:15pm,9/24/2014,504 ADMINISTRATION DRIVE,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20142617,09/24/2014 - 3:40pm,9/24/2014,430 COMPLEX DRIVE,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20142618,09/24/2014 - 1:30pm,9/24/2014,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING; FRAUD USE OF CREDIT CARD,No,Open,,,,,,,,,,,,,,
Criminal Trespass,20142619,09/24/2014 - 7:57pm,9/24/2014,1000 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING 3RD,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20142620,09/24/2014 - 10:00pm,9/24/2014,310 SOUTH LIMESTONE ST,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)/M",No,Open,,,,,,,,,,,,,
Criminal Trespass,20142622,09/24/2014 - 11:00pm,9/24/2014,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,CSA20141382,09/23/2014 - 9:05pm,9/23/2014,1350 Bull Lea Road,Tbut or Disp from Building u/$500/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141381,09/23/2014 - 10:10pm,9/23/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141385,09/19/2014 - 10:00pm,9/23/2014,330 Hilltop Ave,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141386,09/20/2014 - 12:15am,9/23/2014,340 Hilltop Ave,Person 18-20 Poss Alcohol/v X8,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141387,09/20/2014 - 2:10am,9/23/2014,330 Hilltop Ave,Person 18-20 Poss Alcohol/v X4,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141388,09/19/2014 - 10:00pm,9/23/2014,767 Woodland Ave,Person 18-20 Poss Alcohol/v X7,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141389,09/19/2014 - 8:30pm,9/23/2014,767 Woodland Ave,Person 18-20 Poss Alcohol/v X2,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141390,09/20/2014 - 9:45pm,9/23/2014,340 Hilltop Ave,Person 18-20 Poss Alcohol/v X12,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141391,09/18/2014 - 11:30pm,9/23/2014,752 Woodland Ave,Person 18-20 Poss Alcohol/v X2,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141392,09/23/2014 - 9:35am,9/23/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141393,09/23/2014 - 8:40am,9/23/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141394,09/23/2014 - 8:40am,9/23/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141395,09/23/2014 - 10:02am,9/23/2014,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20141396,09/23/2014 - 12:40pm,9/23/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141397,09/23/2014 - 1:05pm,9/23/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141398,09/23/2014 - 7:05pm,9/23/2014,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141399,09/23/2014 - 1:30pm,9/23/2014,325 HUGUELET DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - CSA,,,,,,,,,,,,,,
Theft,20142603,09/20/2014 - 8:00pm,9/23/2014,800 ROSE STREET,TBUT OR DISP SHOPLIFTING U/$500/M,No,Citation issued,,,,,,,,,,,,,,
Terroristic Threatening,20142606,09/22/2014 - 7:00pm,9/23/2014,800 ROSE STREET,"TERRORISTIC THREATENING, 3RD/M",No,Closed,,,,,,,,,,,,,
Theft,20142607,09/23/2014 - 9:30pm,9/23/2014,430 COMPLEX DRIVE,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Harassing Communications,20142608,09/22/2014 - 12:00am,9/23/2014,650 WOODLAND AVENUE,HARASSING COMMUNICATIONS/M,Yes,Open,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141366,09/22/2014 - 2:30am,9/22/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,2014155556,09/14/2014 - 2:40am,9/22/2014,333 South Limestone St,"Alcohol Intox in a Public Place (1st & 2nd offense/m, Poss of Marijuana/m",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20142591,09/21/2014 - 6:00pm,9/22/2014,508 Columbia Ave,"Tbut or Disp Bicycles u/$500/m, Criminal Mischief 3rd/m",No,Closed,,,,,,,,,,,,,
Theft,20142593,09/12/2014 - 6:00pm,9/22/2014,741 South Limestone,Tbut or Disp Bicycles u/$500/m,No,Closed,,,,,,,,,,,,,,
Theft,20142596,09/22/2014 - 5:40pm,9/22/2014,430 COMPLEX DR,Tbut or Disp Bicycles u/$500/m,No,Open,,,,,,,,,,,,,,
Theft,20142597,09/16/2014 - 12:00pm,9/22/2014,150 Patterson Dr,Tbut or Disp Bicycles u/$500/m,No,Closed,,,,,,,,,,,,,,
Theft,20142599,09/21/2014 - 11:00pm,9/22/2014,508 Columbia Ave,"Tbut or Disp Bicycles $500 or more but u/$10,000/f, Criminal Mischief 3rd/m",No,Open,,,,,,,,,,,,
Theft,2014160406,09/13/2014 - 2:56pm,9/22/2014,235 East Maxwell St,Theft of Motor Vehicle Registration Plate/f,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141384,09/22/2014 - 3:14pm,9/22/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141383,09/22/2014 - 6:45pm,9/22/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20142581,09/21/2014 - 8:20am,9/21/2014,310 South Limestone Rd,"Alcohol intox in a public place (1st & 2nd offense/v, Criminal Mischief 3rd/m",No,Cleared By Arrest,,,,,,,,,,,,,
Alcohol Intoxication,20142582,09/21/2014 - 2:41am,9/21/2014,310 South Limestone Rd,"Alcohol Intox in a Public Place (1st & 2nd offense/v, Resisting Arrest/m",No,Cleared By Arrest,,,,,,,,,,,,,
DUI,20142584,09/21/2014 - 3:00am,9/21/2014,195 Hospital Dr,"Disregarding Traffic Cont Dev-Traffic light/v, Oper Mtr Vehicle u/influence Alc/Drugs/Etc. .08-1st off/m",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20142585,09/20/2014 - 2:30pm,9/21/2014,1540 University Dr,Tbut or Disp contents from vehicle under $500/m,No,Closed,,,,,,,,,,,,,,
Assault,CSA20141367,09/21/2014 - 3:15pm,9/21/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141368,09/21/2014 - 9:50am,9/21/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141369,09/21/2014 - 8:46am,9/21/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141370,09/21/2014 - 8:50pm,9/21/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141371,09/21/2014 - 7:50pm,9/21/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,2014159773,09/20/2014 - 8:30am,9/21/2014,201 Avenue of Champions,Unauthorized use of Motor Vehicle-1st/m,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,2014159621,09/21/2014 - 12:05am,9/21/2014,845 Red Mile Rd,Assault 1st Degree/F.,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Alcohol Intoxication,20142568,09/20/2014 - 1:37am,9/20/2014,338 Lexington Ave,Alcohol Intox in a Public Place (1st & 2nd offense/v.,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20142569,09/20/2014 - 2:34am,9/20/2014,Huguelet Dr and South Limestone,Alcohol Intox in a public Place (1st and 2nd offense/v,No,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20142570,09/20/2014 - 2:15am,9/20/2014,140 Huguelet Dr,"Vehicle a Nuisance, Noisy, ETC/v, Oper Mtr Vehicle u/influ Alc/Drugs/Etc. .08 (agg circum) 1st/m",No,Cleared By Arrest,,,,,,,,,,,
All Other Offenses,20142572,09/06/2014 - 8:00am,9/20/2014,404 Administration Dr,Fraud use Cred Card u/$500 w/6 month period/m,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201430281,09/20/2014 - 12:19am,9/20/2014,758 Woodland Ave,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Alcohol Intoxication,201430299,09/20/2014 - 2:11am,9/20/2014,125 Maxwell St,Alcohol Intoxication/v X2,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,CSA20141372,09/20/2014 - 6:43pm,9/20/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141373,09/20/2014 - 11:05am,9/20/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141374,09/20/2014 - 9:41am,9/20/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20142556,09/19/2014 - 11:09pm,9/19/2014,1000 SOUTH LIMESTONE ST,"ALCOHOL INTOXICATION IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M, CRIMINAL TRESPASSING 3RD",No,Cleared By Arrest,,,,,,,,,,,,
DUI,20142557,09/19/2014 - 3:11am,9/19/2014,SOUTH LIMESTONE ST & VIRGINIA AVE,"RECKLESS DRIVING, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,,,,,,,,,,,,
Alcohol Intoxication,201430175,09/19/2014 - 12:46am,9/19/2014,758 WOODLAND AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Alcohol Intoxication,201430180,09/19/2014 - 2:05am,9/19/2014,344 S MLK BLVD,ALCOHOL INTOXICATION IN A PUBLIC PLACE X2,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Theft,20142560,09/15/2014 - 8:00am,9/19/2014,750 Rose St,Tbut or Disp from Building u/$500/m,No,Closed,,,,,,,,,,,,,,
Theft,20142563,09/12/2014 - 4:00pm,9/19/2014,1300 Sports Center Dr,Tbut or Disp all others u/$500/m,No,Closed,,,,,,,,,,,,,,
DUI,20142564,09/19/2014 - 3:05pm,9/19/2014,South Limestone and Pine Street,"Reckless Driving/v, Oper Mtr Vehicle u/influence Alc/Drugs/Etc. .08-1st off/m",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20142565,09/18/2014 - 8:30pm,9/19/2014,750 Woodland Ave,Tbut or Disp from Building u/$500/m,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201430279,09/19/2014 - 11:35pm,9/19/2014,505 Rose St,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,CSA20141375,09/19/2014 - 10:05pm,9/19/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141376,09/19/2014 - 8:15pm,9/19/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141377,09/19/2014 - 7:35pm,9/19/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141378,09/19/2014 - 2:37pm,9/19/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141379,09/19/2014 - 2:07pm,9/19/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141380,09/19/2014 - 7:18am,9/19/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141352,09/18/2014 - 2:40am,9/18/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,2014156717,09/16/2014 - 1:20pm,9/18/2014,Bolivar St,Drug Paraphernalia-buy/possess/m,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Theft,CSA20141355,09/16/2014 - 8:00pm,9/18/2014,750 Woodland Ave,Tbut or Disp from building u/$500/m,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20141356,09/13/2014 - 3:00am,9/18/2014,758 Woodland Ave,Harassment physical contact- no injury/m,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141357,09/11/2014 - 12:45pm,9/18/2014,361 Huguelet Dr,Person 18-20 Poss Alcohol/vX4,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141358,09/13/2014 - 10:06am,9/18/2014,340 Huguelet Dr,Person 18-20 Poss Alcohol/vX2,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,20142553,09/18/2014 - 4:30pm,9/18/2014,1000 SOUTH LIMESTONE ST,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed,,,,,,,,,,,,,,
Drug Violations,20142554,09/18/2014 - 9:47pm,9/18/2014,754 WOODLAND AVE,POSS OF MARIJUANA/M,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Drug Violations,20142555,09/18/2014 - 10:46pm,9/18/2014,763 WOODLAND AVE,"POSS OF MARIJUANA/M x2, DRUG PARAPHERNALIA - BUY/POSSESS/M x2",Yes,Citation issued,,,,,,,,,,,,,
Assault,CSA20141364,09/18/2014 - 6:53pm,9/18/2014,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141365,09/18/2014 - 10:15pm,9/18/2014,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
DUI,20142538,09/17/2014 - 12:49am,9/17/2014,South Limestone and Campus Drive,"Oper Mtr Vehicle u/influ Alc/Drugs/Etc. .08 (agg circum) 1st/m, Operating on sus or rev oper license/m, Disregarding Traffic Cont Dev-Traffic light/v.",No,Cleared By Arrest,,,,,,,,,,,,
Drug Violations,20142539,09/17/2014 - 2:06am,9/17/2014,South Limestone and Pine Street,"No registration plates/v, Oper Mtr Vehicle u/influence Alc/Drugs/Etc. .08-1st/m, Drug Paraphernalia-buy/possess/m.",No,Cleared By Arrest,,,,,,,,,,,,
Assault,CSA20141341,09/17/2014 - 6:40am,9/17/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141342,09/17/2014 - 12:40pm,9/17/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141343,09/17/2014 - 12:06pm,9/17/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141345,09/16/2014 - 7:00pm,9/17/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141351,09/17/2014 - 9:30am,9/17/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142540,09/10/2014 - 4:00pm,9/17/2014,1135 Red Mile PL,Tbut or Disp from building u/$500/m,No,Closed,,,,,,,,,,,,,,
Robbery,20142545,09/17/2014 - 8:38pm,9/17/2014,180 Avenue of Champions,Attempted Robbery 2nd/f,No,Open,,,,,,,,,,,,,,
Theft,20142547,09/15/2014 - 7:45am,9/17/2014,800 Rose Street,Tbut or Disp from Building u/$500/m,No,Open,,,,,,,,,,,,,,
Criminal Trespass,20142543,09/17/2014 - 1:06pm,9/17/2014,310 South Limestone Rd,Criminal Trespassing 3rd/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Mischief,20142542,09/17/2014 - 11:30am,9/17/2014,300 Alumni Dr,Criminal Mischief 2nd/m,No,Closed,,,,,,,,,,,,,,
Assault,CSA20141353,09/17/2014 - 10:30pm,9/17/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141354,09/17/2014 - 8:50pm,9/17/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141359,09/06/2014 - 12:15pm,9/17/2014,758 Woodland Ave,Person 18-20 Poss Alcohol/vX5,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141360,09/06/2014 - 12:25pm,9/17/2014,705 Sports Center,Person 18-20 Poss Alcohol/vX5,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141361,09/06/2014 - 2:30am,9/17/2014,362 South Martin Luther King,Person 18-20 Poss Alcohol/vX3,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20141362,09/06/2014 - 12:00pm,9/17/2014,767 Woodland Ave,Person 18-20 Poss Alcohol/vX2,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20141363,09/06/2014 - 5:10pm,9/17/2014,701 Sports Center Dr,Criminal Mischief 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,201429911,09/16/2014 - 4:10am,9/16/2014,1000 South Limestone,Alcohol Intoxication/v,No,Closed,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141335,09/16/2014 - 4:12am,9/16/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Sex Offenses,CSA20141339,08/23/2014 - 2:30am,9/16/2014,720 Woodland Ave,Rape 2nd/f,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142530,08/29/2014 - 8:00am,9/16/2014,180 Avenue of Champions,"Tbut or Disp Shoplifting $500 or more but u/$10,000/f",No,Open,,,,,,,,,,,,,
Criminal Mischief,20142532,09/15/2014 - 2:00pm,9/16/2014,160 Funkhouser Dr,Criminal Mischief 3rd/m,No,Open,,,,,,,,,,,,,,
Theft,20142535,09/16/2014 - 9:05am,9/16/2014,1540 University Dr,Theft of Motor Vehicle Registration Plate/f,No,Open,,,,,,,,,,,,,,
Theft,20142536,09/14/2014 - 2:00pm,9/16/2014,349 Scott St,Theft of Motor Vehicle Registration Plate/f,No,Open,,,,,,,,,,,,,,
Drug Violations,20142537,09/16/2014 - 11:11pm,9/16/2014,720 Woodland Ave,"Poss of Marijuana/m, DRUG PARAPHERNALIA - BUY/POSSESS",No,Citation issued,,,,,,,,,,,,,
Theft,CSA20141340,09/16/2014 - 11:35am,9/16/2014,1350 Bull Lea Road,Tbut or Disp from building u/$500/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141344,09/16/2014 - 8:20pm,9/16/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141346,09/16/2014 - 9:39pm,9/16/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141347,09/16/2014 - 6:55pm,9/16/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141348,09/16/2014 - 4:50pm,9/16/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141349,09/16/2014 - 1:50pm,9/16/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141350,09/16/2014 - 2:20pm,9/16/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142541,09/15/2014 - 7:45pm,9/16/2014,310 South Limestone Rd,Tbut or Disp from Building u/$500/m,No,Closed,,,,,,,,,,,,,,
Drug Violations,20142549,09/16/2014 - 1:04am,9/16/2014,1000 South Limestone,Drug Paraphernalia-buy/possess/m,No,Closed,,,,,,,,,,,,,,
Theft,2014156800,09/12/2014 - 11:00am,9/16/2014,845 RED MILE RD,TBUT OR DISP BICYCLES U/$500/M,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Assault,CSA20141320,09/15/2014 - 11:35am,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141321,09/15/2014 - 11:00am,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141322,09/15/2014 - 8:45am,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141323,09/15/2014 - 8:56am,9/15/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141324,09/15/2014 - 6:09am,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141325,09/15/2014 - 3:26am,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141326,09/15/2014 - 7:37pm,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20142523,09/13/2014 - 5:00pm,9/15/2014,361 Huguelet Dr,Tbut or Disp from Building u/$500/m,No,Open,,,,,,,,,,,,,,
Theft,20142524,09/15/2014 - 11:00am,9/15/2014,338 Lexington Ave,Tbut or Disp from building u/$500/m,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20142525,09/13/2014 - 5:00pm,9/15/2014,720 Woodland Ave,Criminal Mischief 3rd/m,No,Open,,,,,,,,,,,,,,
All Other Offenses,CSA20141332,08/30/2014 - 8:00am,9/15/2014,On Campus,Stalking 2nd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141336,09/15/2014 - 9:10pm,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141337,09/15/2014 - 7:15pm,9/15/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141338,09/15/2014 - 3:25pm,9/15/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,2014156223,09/15/2014 - 2:06pm,9/15/2014,325 South Limestone,"Alcohol Intox in a public place (1st & 2nd offense/v, Drug Paraphernalia-Buy/Possess/m",No,Closed - Lexington Police Report,,,,,,,,,,,,,
DUI,20142507,09/14/2014 - 3:24am,9/14/2014,South Limestone & Transcript Ave,"Improper Turning/v, Oper Mtr Vehicle u/influ alc/drugs/etc. .08 (agg circum)/m, Failure to produce Insurance card/v",No,Cleared By Arrest,,,,,,,,,,,,
Criminal Trespass,20142512,09/14/2014 - 2:50pm,9/14/2014,721 Press Ave,Criminal Trespassing 3rd/v,No,Cleared By Arrest,,,,,,,,,,,,,,
Drug Violations,20142516,09/14/2014 - 11:35pm,9/14/2014,Virginia Ave & Press Ave,"Careless Driving/v, Drug Paraphernalia-buy/possess/m, Traff in Cont Sub, 3rd Degree, 1st off-(<20 DU Drug Unspec/m",No,Cleared By Arrest,,,,,,,,,,
DUI,20142517,09/15/2014 - 2:54am,9/14/2014,University Dr &b Huguelet Dr,"Failure to Illuminate Head Lamps/v, Oper Mtr Vehicle U/influence Alc/drugs/etc. .08-1st off/m",No,Cleared By Arrest,,,,,,,,,,,,,
Terroristic Threatening,CSA20141316,09/14/2014 - 2:37am,9/14/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141327,09/14/2014 - 6:22pm,9/14/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141328,09/14/2014 - 5:59pm,9/14/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141329,09/14/2014 - 11:30am,9/14/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,201429649,09/14/2014 - 12:11am,9/14/2014,650 Woodland Avenue,Alcohol Intoxication in a Public Place X2,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,20142500,09/13/2014 - 2:44am,9/13/2014,East Maxwell St/Haggerman,Assault 4th degree (no visible injury)/m,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201429558,09/13/2014 - 12:32am,9/13/2014,344 Martin Luther King Blvd,Alcohol Intoxication in a Public Place/v.,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Alcohol Intoxication,201429570,09/13/2014 - 3:05am,9/13/2014,701 Sports Center Dr,Alcohol Intoxication/v,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Assault,CSA20141309,09/13/2014 - 3:07pm,9/13/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141310,09/13/2014 - 9:20am,9/13/2014,1350 Bull Lea Road,Terroristic Threatening 3rd/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141311,09/13/2014 - 6:30am,9/13/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141312,09/13/2014 - 2:20am,9/13/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20141317,09/13/2014 - 4:43pm,9/13/2014,1350 Bull Lea Road,Assault 4th/m,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20141318,09/13/2014 - 3:36pm,9/13/2014,1350 Bull Lea Road,Terroristic Threatening 3/m,No,Closed - CSA,,,,,,,,,,,,,,
